"id_keyb","key_name","position","event","input","timestamp","epoch"
"17613","1","Numpad1","keyup","4","2024-01-29 16:14:59:000658","1706555699658"
"17614","Shift","ShiftLeft","keydown","5","2024-01-29 16:15:01:000306","1706555701306"
"17615","G","KeyG","keydown","5","2024-01-29 16:15:01:000522","1706555701522"
"17616","Shift","ShiftLeft","keyup","5","2024-01-29 16:15:01:000633","1706555701633"
"17617","g","KeyG","keyup","5","2024-01-29 16:15:01:000690","1706555701690"
"17618","a","KeyA","keydown","5","2024-01-29 16:15:01:000762","1706555701762"
"17619","b","KeyB","keydown","5","2024-01-29 16:15:01:000890","1706555701890"
"17620","a","KeyA","keyup","5","2024-01-29 16:15:01:000904","1706555701904"
"17621","r","KeyR","keydown","5","2024-01-29 16:15:02:000026","1706555702026"
"17622","b","KeyB","keyup","5","2024-01-29 16:15:02:000065","1706555702065"
"17623","r","KeyR","keyup","5","2024-01-29 16:15:02:000107","1706555702107"
"17624","i","KeyI","keydown","5","2024-01-29 16:15:02:000107","1706555702107"
"17625","i","KeyI","keyup","5","2024-01-29 16:15:02:000219","1706555702219"
"17626","e","KeyE","keydown","5","2024-01-29 16:15:02:000219","1706555702219"
"17627","e","KeyE","keyup","5","2024-01-29 16:15:02:000354","1706555702354"
"17628","l","KeyL","keydown","5","2024-01-29 16:15:02:000370","1706555702370"
"17629"," ","Space","keydown","5","2024-01-29 16:15:02:000466","1706555702466"
"17630","l","KeyL","keyup","5","2024-01-29 16:15:02:000505","1706555702505"
"17631","Shift","ShiftLeft","keydown","5","2024-01-29 16:15:02:000585","1706555702585"
"17632"," ","Space","keyup","5","2024-01-29 16:15:02:000618","1706555702618"
"17633","T","KeyT","keydown","5","2024-01-29 16:15:02:000770","1706555702770"
"17634","Shift","ShiftLeft","keyup","5","2024-01-29 16:15:02:000851","1706555702851"
"17635"," ","Space","keydown","5","2024-01-29 16:15:02:000852","1706555702852"
"17636","t","KeyT","keyup","5","2024-01-29 16:15:02:000889","1706555702889"
"17637"," ","Space","keyup","5","2024-01-29 16:15:02:000961","1706555702961"
"17638","Shift","ShiftLeft","keydown","5","2024-01-29 16:15:02:000985","1706555702985"
"17639","A","KeyA","keydown","5","2024-01-29 16:15:03:000107","1706555703107"
"17640","Shift","ShiftLeft","keyup","5","2024-01-29 16:15:03:000178","1706555703178"
"17641","a","KeyA","keyup","5","2024-01-29 16:15:03:000244","1706555703244"
"17642","l","KeyL","keydown","5","2024-01-29 16:15:03:000244","1706555703244"
"17643","m","KeyM","keydown","5","2024-01-29 16:15:03:000346","1706555703346"
"17644","l","KeyL","keyup","5","2024-01-29 16:15:03:000402","1706555703402"
"17645","e","KeyE","keydown","5","2024-01-29 16:15:03:000403","1706555703403"
"17646","m","KeyM","keyup","5","2024-01-29 16:15:03:000457","1706555703457"
"17647","e","KeyE","keyup","5","2024-01-29 16:15:03:000506","1706555703506"
"17648","i","KeyI","keydown","5","2024-01-29 16:15:03:000546","1706555703546"
"17649","i","KeyI","keyup","5","2024-01-29 16:15:03:000683","1706555703683"
"17650","d","KeyD","keydown","5","2024-01-29 16:15:03:000684","1706555703684"
"17651","a","KeyA","keydown","5","2024-01-29 16:15:03:000754","1706555703754"
"17652","d","KeyD","keyup","5","2024-01-29 16:15:03:000818","1706555703818"
"17653","3","Numpad3","keydown","1","2024-01-29 16:15:10:000530","1706555710530"
"17654","3","Numpad3","keyup","1","2024-01-29 16:15:10:000698","1706555710698"
"17655","5","Numpad5","keydown","1","2024-01-29 16:15:10:000834","1706555710834"
"17656","5","Numpad5","keyup","1","2024-01-29 16:15:10:000961","1706555710961"
"17657","1","Numpad1","keydown","1","2024-01-29 16:15:11:000322","1706555711322"
